Year,Gender,Age,Non-School Qualifications
2017,All,55-64 years,"1,668.3"
2017,All,65-74 years,"1,035.6"
2018,Male,15-24 years,435.5
2018,Male,25-34 years,"1,340.1"
2018,Male,35-44 years,"1,170.4"
2018,Male,45-54 years,"1,061.3"
2018,Male,55-64 years,890.9
2018,Male,65-74 years,619.1
2018,Female,15-24 years,477.5
2018,Female,25-34 years,"1,432.1"
2018,Female,35-44 years,"1,265.4"
2018,Female,45-54 years,"1,082.6"
2018,Female,55-64 years,825.1
2018,Female,65-74 years,475.2
2018,All,15-24 years,911.6
2018,All,25-34 years,"2,772.2"
2018,All,35-44 years,"2,434.0"
2018,All,45-54 years,"2,141.8"
2018,All,55-64 years,"1,715.6"
2018,All,65-74 years,"1,093.5"
2019,Male,15-24 years,439.4
2019,Male,25-34 years,"1,376.2"
2019,Male,35-44 years,"1,224.6"
2019,Male,45-54 years,"1,074.4"
2019,Male,55-64 years,919.4
2019,Male,65-74 years,617.6
2019,Female,15-24 years,544.4
2019,Female,25-34 years,"1,446.9"
2019,Female,35-44 years,"1,299.0"
2019,Female,45-54 years,"1,099.9"
2019,Female,55-64 years,827.8
2019,Female,65-74 years,512.4
2019,All,15-24 years,985.5
2019,All,25-34 years,"2,823.6"
2019,All,35-44 years,"2,524.0"
2019,All,45-54 years,"2,171.9"
2019,All,55-64 years,"1,745.5"
2019,All,65-74 years,"1,129.5"
2020,Male,15-24 years,438.8
2020,Male,25-34 years,"1,399.5"
2020,Male,35-44 years,"1,293.4"
2020,Male,45-54 years,"1,100.7"
2020,Male,55-64 years,931.6
2020,Male,65-74 years,636.3
2020,Female,15-24 years,491.7
2020,Female,25-34 years,"1,491.5"
2020,Female,35-44 years,"1,382.5"
2020,Female,45-54 years,"1,136.1"
2020,Female,55-64 years,866.5
2020,Female,65-74 years,537.3
2020,All,15-24 years,929.3
2020,All,25-34 years,"2,889.8"
2020,All,35-44 years,"2,678.5"
2020,All,45-54 years,"2,236.3"
2020,All,55-64 years,"1,796.2"
2020,All,65-74 years,"1,174.5"
2021,Male,15-24 years,405.9
2021,Male,25-34 years,"1,325.6"
2021,Male,35-44 years,"1,319.5"
2021,Male,45-54 years,"1,137.4"
2021,Male,55-64 years,936.5
2021,Male,65-74 years,702.2
2021,Female,15-24 years,459.4
2021,Female,25-34 years,"1,468.0"
2021,Female,35-44 years,"1,383.8"
2021,Female,45-54 years,"1,145.7"
2021,Female,55-64 years,890.4
2021,Female,65-74 years,573.7
2021,All,15-24 years,864.3
2021,All,25-34 years,"2,793.7"
2021,All,35-44 years,"2,704.3"
2021,All,45-54 years,"2,285.0"
2021,All,55-64 years,"1,828.3"
2021,All,65-74 years,"1,275.0"
2022,Male,15-24 years,411.1
2022,Male,25-34 years,"1,368.3"
2022,Male,35-44 years,"1,352.8"
2022,Male,45-54 years,"1,140.0"
2022,Male,55-64 years,941.5
2022,Male,65-74 years,708.1
2022,Female,15-24 years,457.5
2022,Female,25-34 years,"1,463.4"
2022,Female,35-44 years,"1,451.4"
2022,Female,45-54 years,"1,209.1"
2022,Female,55-64 years,907.5
2022,Female,65-74 years,585.6
2022,All,15-24 years,869.2
2022,All,25-34 years,"2,831.7"
2022,All,35-44 years,"2,803.7"
2022,All,45-54 years,"2,346.2"
2022,All,55-64 years,"1,848.5"
2022,All,65-74 years,"1,295.5"
2023,Male,15-24 years,423.9
2023,Male,25-34 years,"1,403.0"
2023,Male,35-44 years,"1,393.7"
2023,Male,45-54 years,"1,145.0"
2023,Male,55-64 years,973.0
2023,Male,65-74 years,697.7
2023,Female,15-24 years,477.8
2023,Female,25-34 years,"1,540.4"
2023,Female,35-44 years,"1,475.1"
2023,Female,45-54 years,"1,201.3"
2023,Female,55-64 years,959.3
2023,Female,65-74 years,646.9
2023,All,15-24 years,901.7
2023,All,25-34 years,"2,943.9"
2023,All,35-44 years,"2,867.8"
2023,All,45-54 years,"2,346.9"
2023,All,55-64 years,"1,934.6"
2023,All,65-74 years,"1,343.1"
